Team,Elo_Rating,1_Year_Point_Change,Global_Elo_Rank
Spain,2157,13,1
Argentina,2115,-1,2
France,2063,-8,3
England,2024,5,4
Brazil,1991,3,5
Portugal,1989,7,6
Colombia,1982,-5,7
Netherlands,1948,-5,8
Ecuador,1938,8,9
Germany,1932,8,10
Norway,1914,-13,11
Croatia,1912,6,12
Türkiye,1911,-14,13
Japan,1906,8,14
Belgium,1894,14,15
Uruguay,1892,-14,16
Switzerland,1891,5,17
Mexico,1875,17,18
Scotland,1837,9,19
Haiti,1816,8,20
Panama,1816,-9,21
Congo DR,1800,-1,22
Algeria,1795,-14,23
Canada,1789,12,24
Ivory Coast,1765,-2,25
USA,1763,6,26
Tunisia,1759,13,27
Austria,1756,-9,28
Australia,1720,-13,29
Paraguay,1713,19,30
Senegal,1702,9,31
Egypt,1691,-7,32
Uzbekistan,1667,18,33
Curaçao,1666,13,34
Jordan,1664,5,35
Cape Verde,1657,2,36
Saudi Arabia,1655,1,37
New Zealand,1651,-2,38
Ghana,1640,2,39
IR Iran,1637,0,40
Czechia,1616,2,41
Korea Republic,1508,12,42
South Africa,1503,-12,43
Qatar,1499,-12,44
Morocco,1498,11,45
Sweden,1470,-7,46
Iraq,1464,-15,47
Bosnia and Herzegovina,1451,-10,48
