Team,Power_Rating,asof,source
Spain,100.0,2026-06-05,theanalyst.com articles
France,98.6,2026-06-05,theanalyst.com articles
Argentina,97.8,2025-12-05,theanalyst.com articles
England,92.6,2025-12-05,theanalyst.com articles
Brazil,92.2,2026-06-05,theanalyst.com articles
Colombia,90.1,2025-12-05,theanalyst.com articles
Germany,89.6,2026-06-05,theanalyst.com articles
Netherlands,88.7,2025-12-05,theanalyst.com articles
Portugal,87.0,2025-12-05,theanalyst.com articles
Croatia,83.4,2025-12-05,theanalyst.com articles
Belgium,83.3,2025-12-05,theanalyst.com articles
Uruguay,82.6,2025-12-05,theanalyst.com articles
Morocco,82.3,2025-12-05,theanalyst.com articles
Switzerland,81.9,2025-12-05,theanalyst.com articles
Japan,81.2,2025-12-05,theanalyst.com articles
Türkiye,78.2,2025-12-05,theanalyst.com articles
Norway,77.6,2025-12-05,theanalyst.com articles
Mexico,77.2,2025-12-05,theanalyst.com articles
Iran,76.4,2025-12-05,theanalyst.com articles
Senegal,76.1,2025-12-05,theanalyst.com articles
Australia,75.6,2025-12-05,theanalyst.com articles
Paraguay,75.4,2025-12-05,theanalyst.com articles
Austria,75.3,2025-12-05,theanalyst.com articles
South Korea,74.6,2025-12-05,theanalyst.com articles
United States,73.1,2025-12-05,theanalyst.com articles
Algeria,72.2,2025-12-05,theanalyst.com articles
Canada,71.7,2025-12-05,theanalyst.com articles
Scotland,70.6,2025-12-05,theanalyst.com articles
Uzbekistan,70.4,2025-12-05,theanalyst.com articles
Czechia,70.0,2025-12-05,theanalyst.com articles
Tunisia,68.3,2025-12-05,theanalyst.com articles
Panama,68.3,2025-12-05,theanalyst.com articles
Egypt,67.7,2025-12-05,theanalyst.com articles
Sweden,65.4,2025-12-05,theanalyst.com articles
DR Congo,65.0,2025-12-05,theanalyst.com articles
South Africa,64.8,2025-12-05,theanalyst.com articles
Iraq,63.2,2025-12-05,theanalyst.com articles
Jordan,63.1,2025-12-05,theanalyst.com articles
Saudi Arabia,61.7,2025-12-05,theanalyst.com articles
New Zealand,60.9,2025-12-05,theanalyst.com articles
Cape Verde,59.8,2025-12-05,theanalyst.com articles
Ghana,59.4,2025-12-05,theanalyst.com articles
Qatar,59.2,2025-12-05,theanalyst.com articles
Haiti,57.1,2026-06-05,theanalyst.com articles
Curaçao,49.5,2026-06-05,theanalyst.com articles
